lambda,seed_index,phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,final_degree_variance,stable_edge_count,stable_topology
0.12,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.5823554376293385,2.7736955758835764e-17,0.0009089089231120103,True,True
0.12,13,fragmented_sparse,2,4,2,,0.06485953996327018,-0.9251495391750094,0.0,0.0002594039508457366,True,True
0.12,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.7481254388190864,0.0,0.0012025054462336247,True,True
0.12,15,sparse_geometric,5,1,6,4,0.3509444695608006,-0.2447905697413513,0.024146809921225556,0.002327573942071823,True,True
0.12,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.7277374737064627,8.952673579213436e-35,0.0015829817638803305,True,True
0.12,17,sparse_geometric,6,1,6,4,0.566960145828227,-0.1514981362648165,0.012010802792920825,0.017720759879121372,True,True
0.12,18,sparse_geometric,5,1,6,5,0.3039741116036062,-0.29394662248475467,0.01223890555056221,0.0035353453560600843,True,True
0.12,19,sparse_geometric,5,1,6,5,0.21594743237638026,-0.38392711817900205,0.0010207341145011665,0.0016652198855023695,True,True
0.16,0,fragmented_sparse,4,2,5,,0.19200240464052226,-0.6980596770456408,1.1862066085429905e-17,0.001773762461802118,True,True
0.16,1,fragmented_sparse,3,3,4,,0.059233162729901756,-0.9207812090232115,0.0,0.0004106215175203121,True,True
0.16,2,sparse_geometric,6,1,6,3,0.6831607085162187,-0.2778197885779499,0.0023821862201645365,0.04026544610852183,True,True
0.16,3,fragmented_sparse,4,2,5,,0.271982029430336,-0.6181645113477587,8.909781512008534e-19,0.004186879374135636,True,True
0.16,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.6133091693144552,0.0,0.007369958541187972,True,True
0.16,5,fragmented_sparse,5,2,5,,0.8927709272377446,-0.16001883384787485,0.0,0.07970745958912744,True,True
0.16,6,sparse_geometric,5,1,6,5,0.2786733556249337,-0.5199831995134767,0.008090263667897921,0.0032229313894872364,True,True
0.16,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.7784401217005894,6.9050125859816655e-18,0.0011536661439057495,True,True
0.16,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.5513599100674069,0.007944185904998834,0.0031445297717875623,True,True
