lambda,seed_index,pre_final_phase,post_phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,bridges_added_total,stable_edge_count,stable_topology
0.16,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.5108519362634808,0.009641870251986796,0,True,True
0.16,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.8110696809842418,2.0381243706661363e-18,0,True,True
0.16,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-0.9494380939514512,0.0,0,True,True
0.16,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.7834158714670489,0.0,0,True,True
0.16,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.6009778367951454,0.013580734939368,0,True,True
0.16,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-0.9090361405976187,-2.8817442878222405e-50,0,True,True
0.16,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.5028265286552859,0.007919566808085983,0,True,True
0.16,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,-0.2618744061631399,0.011279307518488414,0,True,True
0.16,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.6185633746819444,0.00038532666243887927,0,True,True
0.2,0,fragmented_sparse,fragmented_sparse,4,2,5,,0.09715624675624333,-0.9528593067167935,1.883329584752525e-18,0,True,True
0.2,1,fragmented_sparse,fragmented_sparse,3,3,4,,0.08192113105873561,-1.0181195114194042,0.0,0,True,True
0.2,2,sparse_geometric,sparse_geometric,5,1,6,4,0.3054352054351096,-0.6945686084639597,0.0012185410029949355,0,True,True
0.2,3,fragmented_sparse,fragmented_sparse,4,2,5,,0.33748385904449407,-0.712780499806618,1.7307624935867026e-17,0,True,True
0.2,4,fragmented_sparse,fragmented_sparse,4,2,5,,0.5314718217465197,-0.5196261791797067,6.610871254366662e-17,0,True,True
0.2,5,fragmented_sparse,fragmented_sparse,4,2,5,,0.20383792757235036,-0.8462531633084152,0.0,0,True,True
0.2,6,sparse_geometric,sparse_geometric,5,1,6,5,0.23389259456483688,-0.7656578120073385,0.0032643976162400018,0,True,True
0.2,7,fragmented_sparse,fragmented_sparse,4,2,4,,0.08454826491550893,-0.9654662466560227,7.236879102112993e-20,0,True,True
0.2,8,sparse_geometric,sparse_geometric,5,1,6,4,0.23786273545068046,-0.7612607409839907,0.005355507576292297,0,True,True
0.2,9,fragmented_sparse,fragmented_sparse,1,5,2,,0.08120741704849474,-1.1188438746316007,0.0,0,True,True
0.2,10,sparse_geometric,sparse_geometric,5,1,6,4,0.271953593981901,-0.7270704854163712,0.005902441329957561,0,True,True
0.2,11,sparse_geometric,sparse_geometric,5,1,6,5,0.2875399058118025,-0.7108519362634808,0.009641870251986796,0,True,True
0.2,12,fragmented_sparse,fragmented_sparse,4,2,5,,0.0789394884313337,-0.9710696809842418,2.0381243706661363e-18,0,True,True
0.2,13,fragmented_sparse,fragmented_sparse,3,3,3,,0.030563932671786233,-1.0694380939514512,0.0,0,True,True
0.2,14,fragmented_sparse,fragmented_sparse,3,3,3,,0.19678559471523138,-0.903415871467049,0.0,0,True,True
0.2,15,sparse_geometric,sparse_geometric,5,1,6,4,0.19661103460221568,-0.8009778367951453,0.013580734939368,0,True,True
0.2,16,fragmented_sparse,fragmented_sparse,3,3,4,,0.07098028791808839,-1.0290361405976187,-2.8817442878222405e-50,0,True,True
0.2,17,sparse_geometric,sparse_geometric,5,1,6,5,0.29585578753139996,-0.7028265286552858,0.007919566808085983,0,True,True
0.2,18,sparse_geometric,sparse_geometric,5,1,6,4,0.5367981387973554,-0.46187440616313985,0.011279307518488414,0,True,True
0.2,19,sparse_geometric,sparse_geometric,5,1,6,4,0.18142790623158866,-0.8185633746819444,0.00038532666243887927,0,True,True
